"Abbey"
"Aberdeen"
"Aberdeen No. 373"
"Abernethy"
"Abernethy No. 186"
"Alameda"
"Albertville"
"Alice Beach"
"Alida"
"Allan"
"Alvena"
"Annaheim"
"Antler No. 61"
"Aquadeo"
"Arborfield"
"Arborfield No. 456"
"Archerwill"
"Arcola"
"Argyle No. 1"
"Arm River No. 252"
"Arran"
"Asquith"
"Assiniboia"
"Atwater"
"Avonlea"
"Aylesbury"
"Aylsham"
"B-Say-Tah"
"Balcarres"
"Balgonie"
"Bangor"
"Barrier Valley No. 397"
"Battle River No. 438"
"Battleford"
"Bayne No. 371"
"Beatty"
"Beaver Flat"
"Beaver River No. 622"
"Beechy"
"Belle Plaine"
"Bengough"
"Bengough No. 40"
"Bethune"
"Bienfait"
"Big Arm No. 251"
"Big Quill No. 308"
"Big River"
"Big River No. 555"
"Big Shell"
"Big Stick No. 141"
"Biggar"
"Biggar No. 347"
"Birch Hills"
"Birch Hills No. 460"
"Bird's Point"
"Bjorkdale"
"Bjorkdale No. 426"
"Bladworth"
"Blaine Lake"
"Blaine Lake No. 434"
"Blucher No. 343"
"Borden"
"Bracken"
"Bradwell"
"Bratt's Lake No. 129"
"Bredenbury"
"Briercrest"
"Britannia No. 502"
"Broadview"
"Brock"
"Brock No. 64"
"Broderick"
"Browning No. 34"
"Brownlee"
"Bruno"
"Buchanan"
"Buchanan No. 304"
"Buena Vista"
"Bulyea"
"Burstall"
"Cabri"
"Cadillac"
"Calder"
"Calder No. 241"
"Cambria No. 6"
"Cana No. 214"
"Canaan No. 225"
"Candle Lake"
"Canora"
"Canwood"
"Canwood No. 494"
"Carievale"
"Carlyle"
"Carnduff"
"Caron No. 162"
"Caronport"
"Carrot River"
"Central Butte"
"Ceylon"
"Chamberlain"
"Chaplin"
"Chaplin No. 164"
"Chester No. 125"
"Chesterfield No. 261"
"Chitek Lake"
"Choiceland"
"Chorney Beach"
"Christopher Lake"
"Churchbridge"
"Churchbridge No. 211"
"Clavet"
"Clayton No. 333"
"Climax"
"Clinworth No. 230"
"Coalfields No. 4"
"Cochin"
"Coderre"
"Codette"
"Coleville"
"Colonsay"
